alpha,operation,Chained Hashing,Linear Probing,Robin Hood Hashing
0.5,Insert (success),510.09,204.21,232.69
0.5,Insert (failure),327.95,137.25,146.99
0.5,Lookup (success),329.81,132.74,140.43
0.5,Lookup (failure),249.67,135.55,137.29
0.5,Remove (success),348.16,134.31,149.56
0.5,Remove (failure),169.12,137.46,138.29
0.6,Insert (success),512.05,199.22,230.37
0.6,Insert (failure),322.78,131.68,146.38
0.6,Lookup (success),330.2,127.83,139.99
0.6,Lookup (failure),255.52,137.72,132.78
0.6,Remove (success),339.67,127.29,144.78
0.6,Remove (failure),172.91,139.75,135.09
0.7,Insert (success),515.81,203.65,238.11
0.7,Insert (failure),323.45,132.67,152.04
0.7,Lookup (success),322.82,127.22,146.29
0.7,Lookup (failure),261.08,153.88,133.8
0.7,Remove (success),332.68,133.18,148.6
0.7,Remove (failure),171.6,157.63,137.36
0.8,Insert (success),514.8,212.09,256.16
0.8,Insert (failure),314.46,137.88,163.32
0.8,Lookup (success),316.49,132.64,157.49
0.8,Lookup (failure),262.78,213.67,144.49
0.8,Remove (success),321.87,133.23,162.74
0.8,Remove (failure),164.95,214.52,148.13
0.85,Insert (success),516.45,224.06,273.99
0.85,Insert (failure),311.53,146.25,177.94
0.85,Lookup (success),314.06,141.25,172.26
0.85,Lookup (failure),264.15,301.74,159.86
0.85,Remove (success),323.79,142.2,180.26
0.85,Remove (failure),166.76,303.49,163.02
0.9,Insert (success),520.52,250.08,312.13
0.9,Insert (failure),315.38,163.86,206.3
0.9,Lookup (success),314.46,158.83,200.21
0.9,Lookup (failure),270.12,574.8,188.78
0.9,Remove (success),321.86,159.5,213.25
0.9,Remove (failure),168.25,575.71,192.24
0.93,Insert (success),520.44,278.77,353.24
0.93,Insert (failure),313.33,182.51,244.32
0.93,Lookup (success),317.04,177.96,237.81
0.93,Lookup (failure),271.38,1016.81,224.28
0.93,Remove (success),316.86,179.49,252.35
0.93,Remove (failure),164.43,1027.83,227.98
0.96,Insert (success),520.56,358.83,458.85
0.96,Insert (failure),315.44,237.24,334.76
0.96,Lookup (success),317.17,231.45,329.6
0.96,Lookup (failure),273.74,3031.01,314.72
0.96,Remove (success),317.86,233.69,353.78
0.96,Remove (failure),165.17,3038.9,318.12
0.97,Insert (success),520.82,417.83,543.84
0.97,Insert (failure),312.15,274.63,405.29
0.97,Lookup (success),313.36,269.87,399.63
0.97,Lookup (failure),274.48,5208.96,386.0
0.97,Remove (success),316.4,274.15,435.79
0.97,Remove (failure),166.25,5254.12,389.45
